round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,184,0.7299168975069251,8,2,0.5789473684210527,184,2,0.4817982268128712,0.597624470726759,1.2404040477277933,0.7299168975069251,0.2493074792243767,0.15789473684210525,1.0,0.9641267347473159,0.15789473684210525,0.09868421052631571,,0.2,0.8,0.024390243902439025,0.07317073170731707,0.03361344537815126,0.024390243902439025,0.07317073170731707,0.03361344537815126,8,0,0,1.0,1.0,46.079835996021785,0.1443032983258138,0.0,0.0,1.0,low-key lighting|soft contrast|warm palette|figurative composition|renaissance-inspired texture
5,129,0.7740831611570248,8,8,0.4878048780487805,129,8,0.4427009780610887,0.5265240326181562,1.1893446337620257,0.7740831611570248,0.3058496900826446,0.17391304347826086,0.5652173913043478,0.8228423101881894,0.17391304347826086,0.1314952279957582,0.25,0.1875,0.8125,0.0,0.04878048780487805,0.05042016806722689,0.17073170731707318,0.2926829268292683,0.24369747899159663,8,0,0,,,,,,,,
10,93,0.6916551246537396,8,8,0.4044943820224719,93,8,0.4650251114449229,0.4967533212359531,1.0682290246486787,0.6916551246537396,0.3728142313019391,0.1962025316455696,0.4936708860759494,0.7605642672712387,0.1962025316455696,0.21103963477899979,0.23750000000000004,0.1625,0.8375,0.024390243902439025,0.024390243902439025,0.05042016806722689,0.36585365853658536,0.5121951219512195,0.4369747899159664,8,0,0,,,,,,,,
15,68,0.6632238623460563,8,8,0.32142857142857145,68,8,0.4746948989561207,0.4700142174957841,0.9901396002555964,0.6632238623460563,0.3930583457070486,0.17488789237668162,0.4260089686098655,0.6981237311201838,0.17488789237668162,0.22208807634816607,0.16249999999999998,0.1625,0.8375,0.024390243902439025,0.04878048780487805,0.04201680672268908,0.5609756097560976,0.7317073170731707,0.6302521008403361,8,0,0,,,,,,,,
20,58,0.6266224986479179,8,8,0.3787878787878788,58,8,0.47000031878942394,0.5103629087010582,1.085877792627026,0.6266224986479179,0.39058650321495103,0.17037037037037037,0.3888888888888889,0.6685093053252256,0.17037037037037037,0.23414218816517662,0.09999999999999998,0.2,0.8,0.024390243902439025,0.12195121951219512,0.01680672268907563,0.7560975609756098,0.975609756097561,0.7478991596638656,8,0,0,,,,,,,,
