round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,181,0.7048611111111112,8,3,0.35,181,3,0.46682102241867696,0.6122818853095956,1.3115987839135046,0.7048611111111112,0.36612654320987653,0.07692307692307693,1.0,0.9340832123850991,0.07692307692307693,0.1266025641025641,,0.25,0.75,0.12195121951219512,0.1951219512195122,0.025,0.12195121951219512,0.1951219512195122,0.025,16,8,8,2.0,1.0,36.82619226165565,0.136559775474641,0.0,0.0,1.0,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|dramatic contrast
5,118,0.5879916753381894,8,8,0.378698224852071,118,8,0.4372521710332823,0.6192840378169192,1.4163086631530555,0.5879916753381894,0.3376066597294485,0.18072289156626506,0.6746987951807228,0.8467265287565355,0.18072289156626506,0.261500547645126,0.2875,0.3125,0.6875,0.14634146341463414,0.24390243902439024,0.0,1.024390243902439,1.1951219512195121,0.040983606557377046,14,8,8,,,,,,,,
10,88,0.5838746003338092,8,8,0.3248407643312102,88,8,0.44907800752752747,0.5842010510634209,1.3008899150502504,0.5838746003338092,0.3522290816223934,0.2175732217573222,0.6778242677824268,0.842563353595958,0.2175732217573222,0.332468619246862,0.08750000000000002,0.325,0.675,0.16666666666666666,0.16666666666666666,0.01639344262295082,1.7857142857142858,2.142857142857143,0.09016393442622951,15,8,8,,,,,,,,
15,73,0.5404546929065744,8,8,0.2913907284768212,73,8,0.4540782241286846,0.654274862045589,1.4408857929733474,0.5404546929065744,0.35250189230103807,0.21575342465753425,0.6952054794520548,0.8434996123029206,0.21575342465753425,0.37399844921168257,0.050000000000000044,0.325,0.675,0.14285714285714285,0.23809523809523808,0.0,2.4761904761904763,3.119047619047619,0.1693548387096774,14,8,8,,,,,,,,
20,64,0.5194803127884646,8,8,0.36363636363636365,64,8,0.4540782241286846,0.654274862045589,1.4408857929733474,0.5194803127884646,0.3317170473957283,0.22658610271903323,0.7129909365558912,0.8498403921792168,0.22658610271903323,0.39936156871686723,0.03749999999999998,0.3125,0.6875,0.14285714285714285,0.23809523809523808,0.0,2.9761904761904763,4.023809523809524,0.20634920634920634,14,8,8,2.0,1.0,31.16662922518428,0.14193035062218795,0.0,0.0,1.0,low-key lighting|dramatic contrast|warm palette|figurative composition|renaissance-inspired texture
