round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,188,0.5710059171597633,8,2,0.1875,188,2,0.36293878160898035,0.47194136914586754,1.3003332602089446,0.5710059171597633,0.24556213017751483,0.13333333333333333,1.0,0.9623333333333335,0.13333333333333333,0.05833333333333335,0.2625,0.7375,0.125,0.0,0.025,0.125,0.0,0.025,8,8,0
5,163,0.4884033203125,8,4,0.3125,163,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.4884033203125,0.1953125,0.16176470588235295,1.0,0.921764705882353,0.16176470588235295,0.2176470588235293,0.3625,0.6375,0.2,0.0,0.0,1.025,0.0,0.058333333333333334,8,8,0
10,158,0.4322833502685441,8,4,0.20987654320987653,158,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.4322833502685441,0.2109159529685006,0.18681318681318682,1.0,0.9288461538461539,0.18681318681318682,0.2884615384615383,0.3625,0.6375,0.175,0.0,0.008333333333333333,1.9,0.0,0.1,8,8,0
15,156,0.41715,8,4,0.2375,156,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.41715,0.17739999999999997,0.18181818181818182,1.0,0.9312727272727275,0.18181818181818182,0.31272727272727274,0.3625,0.6375,0.175,0.0,0.008333333333333333,2.8,0.0,0.13333333333333333,8,8,0
20,154,0.38580867566791155,8,4,0.38271604938271603,154,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.38580867566791155,0.14277506463659867,0.19083969465648856,1.0,0.9327862595419849,0.19083969465648856,0.3278625954198473,0.3625,0.6375,0.175,0.0,0.008333333333333333,3.675,0.0,0.175,8,8,0
25,152,0.35357666015625,8,4,0.3125,152,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.35357666015625,0.135772705078125,0.18181818181818182,1.0,0.9330419580419582,0.18181818181818182,0.3304195804195804,0.3625,0.6375,0.175,0.0,0.008333333333333333,4.575,0.0,0.20833333333333334,8,8,0
30,147,0.36194312283737023,8,4,0.35384615384615387,147,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.36194312283737023,0.1324610726643598,0.1830065359477124,1.0,0.9346732026143791,0.1830065359477124,0.34673202614379073,0.3625,0.6375,0.175,0.0,0.008333333333333333,5.275,0.0,0.24166666666666667,8,8,0
