round,node_id,strategy,prompt,image_path,artist_type,learning_mode,gallery_ids,decoded_caption,decoded_tags,base_prompt,create_provider,create_model,decode_provider,decode_model,feedback_I,feedback_S,feedback_M
8,157,diff,"Renaissance painting, oil on panel aesthetic, round 8, node 157, civic procession in an italian city, random patronage baseline, heterogeneous workshops, uneven style pressure, differentiated style, bolder contrast, uncommon motif variation, moderate symbolic capital, moderate market visibility, limited influence, museum quality, high detail. opposite of (high-key lighting, soft contrast, warm palette, figurative composition), anti-mainstream arrangement, unexpected composition, controlled dissonance.",/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0008/node_0157.png,rebel,differentiation,18|104|87|46,"gallery summary: high-key lighting, soft contrast, warm palette; brightness=140.7, contrast=50.2",high-key lighting|soft contrast|warm palette|figurative composition|renaissance-inspired texture,"Renaissance painting, oil on panel aesthetic, round 8, node 157, civic procession in an italian city, random patronage baseline, heterogeneous workshops, uneven style pressure, differentiated style, bolder contrast, uncommon motif variation, moderate symbolic capital, moderate market visibility, limited influence, museum quality, high detail.",openai,openai/gpt-5-image-mini,mock,,1.4,0.6,0.8
8,187,diff,"Renaissance painting, oil on panel aesthetic, round 8, node 187, religious narrative scene, random patronage baseline, heterogeneous workshops, uneven style pressure, differentiated style, bolder contrast, uncommon motif variation, moderate symbolic capital, moderate market visibility, limited influence, museum quality, high detail. opposite of (low-key lighting, dramatic contrast, warm palette, figurative composition), anti-mainstream arrangement, unexpected composition, controlled dissonance.",/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0008/node_0187.png,rebel,differentiation,102|153|63|5,"gallery summary: low-key lighting, dramatic contrast, warm palette; brightness=125.5, contrast=58.2",low-key lighting|dramatic contrast|warm palette|figurative composition|renaissance-inspired texture,"Renaissance painting, oil on panel aesthetic, round 8, node 187, religious narrative scene, random patronage baseline, heterogeneous workshops, uneven style pressure, differentiated style, bolder contrast, uncommon motif variation, moderate symbolic capital, moderate market visibility, limited influence, museum quality, high detail.",openai,openai/gpt-5-image-mini,mock,,1.4,0.6,0.8
