round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2625,0.7375,0.12195121951219512,0.0,0.02459016393442623,0.12195121951219512,0.0,0.02459016393442623,8,8,0
1,0.2875,0.7125,0.14634146341463414,0.024390243902439025,0.00819672131147541,0.2682926829268293,0.024390243902439025,0.03278688524590164,8,8,0
2,0.2875,0.7125,0.14634146341463414,0.024390243902439025,0.00819672131147541,0.2682926829268293,0.024390243902439025,0.03278688524590164,8,8,0
2,0.325,0.675,0.16666666666666666,0.023809523809523808,0.0,0.42857142857142855,0.047619047619047616,0.03225806451612903,8,8,0
3,0.325,0.675,0.09523809523809523,0.023809523809523808,0.024193548387096774,0.5238095238095238,0.07142857142857142,0.056451612903225805,8,8,0
4,0.325,0.675,0.09523809523809523,0.023809523809523808,0.024193548387096774,0.5238095238095238,0.07142857142857142,0.056451612903225805,8,8,0
4,0.3125,0.6875,0.06976744186046512,0.06976744186046512,0.015873015873015872,0.6046511627906976,0.13953488372093023,0.06349206349206349,8,8,0
5,0.325,0.675,0.13953488372093023,0.0,0.015873015873015872,0.7441860465116279,0.13953488372093023,0.07936507936507936,8,8,0
6,0.325,0.675,0.13953488372093023,0.0,0.015873015873015872,0.7441860465116279,0.13953488372093023,0.07936507936507936,8,8,0
6,0.325,0.675,0.11363636363636363,0.022727272727272728,0.015625,0.8409090909090909,0.13636363636363635,0.1015625,8,8,0
7,0.325,0.675,0.09090909090909091,0.045454545454545456,0.015625,0.9318181818181818,0.18181818181818182,0.1171875,8,8,0
8,0.325,0.675,0.09090909090909091,0.045454545454545456,0.015625,0.9318181818181818,0.18181818181818182,0.1171875,8,8,0
8,0.325,0.675,0.09090909090909091,0.06818181818181818,0.007575757575757576,1.0227272727272727,0.3181818181818182,0.09848484848484848,8,8,0
9,0.325,0.675,0.13636363636363635,0.022727272727272728,0.007575757575757576,1.1590909090909092,0.3409090909090909,0.10606060606060606,8,8,0
10,0.325,0.675,0.13636363636363635,0.022727272727272728,0.007575757575757576,1.1590909090909092,0.3409090909090909,0.10606060606060606,8,8,0
10,0.35,0.65,0.08888888888888889,0.022222222222222223,0.022388059701492536,1.2444444444444445,0.35555555555555557,0.11940298507462686,8,8,0
11,0.35,0.65,0.08888888888888889,0.044444444444444446,0.014925373134328358,1.3333333333333333,0.4,0.13432835820895522,8,8,0
12,0.35,0.65,0.08888888888888889,0.044444444444444446,0.014925373134328358,1.3333333333333333,0.4,0.13432835820895522,8,8,0
12,0.3375,0.6625,0.08695652173913043,0.0,0.029411764705882353,1.3695652173913044,0.391304347826087,0.16911764705882354,8,8,0
13,0.3375,0.6625,0.06521739130434782,0.043478260869565216,0.022058823529411766,1.434782608695652,0.43478260869565216,0.19117647058823528,8,8,0
14,0.3375,0.6625,0.06521739130434782,0.043478260869565216,0.022058823529411766,1.434782608695652,0.43478260869565216,0.19117647058823528,8,8,0
14,0.35,0.65,0.0425531914893617,0.0425531914893617,0.028985507246376812,1.4680851063829787,0.46808510638297873,0.21014492753623187,8,8,0
15,0.35,0.65,0.10638297872340426,0.0,0.021739130434782608,1.574468085106383,0.46808510638297873,0.2318840579710145,8,8,0
16,0.35,0.65,0.10638297872340426,0.0,0.021739130434782608,1.574468085106383,0.46808510638297873,0.2318840579710145,8,8,0
16,0.3375,0.6625,0.10416666666666667,0.0,0.02142857142857143,1.6458333333333333,0.4583333333333333,0.25,8,8,0
