round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,254,0.7768595041322314,8,3,0.55,254,3,0.46415194194945386,0.6382505410281522,1.3750896707390219,0.7768595041322314,0.21487603305785127,0.08108108108108109,1.0,0.9523220403502093,0.08108108108108109,0.15371621621621623,,0.2625,0.7375,0.12195121951219512,0.1951219512195122,0.02459016393442623,0.12195121951219512,0.1951219512195122,0.02459016393442623,16,8,8,4.0,1.0,39.62574553073195,0.15924413074714006,0.5,0.0,0.5,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|dramatic contrast
5,193,0.6914135984950281,8,8,0.36363636363636365,193,8,0.4274533959990022,0.6674481815446921,1.5614525180804744,0.6914135984950281,0.33324375167965603,0.20300751879699247,0.8270676691729323,0.8957693529598643,0.20300751879699247,0.2599624060150376,0.16249999999999998,0.3,0.7,0.046511627906976744,0.09302325581395349,0.07936507936507936,0.7441860465116279,0.7209302325581395,0.2619047619047619,10,8,8,,,,,,,,
10,174,0.6401274937244021,8,8,0.27927927927927926,174,8,0.42016148781100576,0.7332961805015998,1.7452722388289101,0.6401274937244021,0.36309287884793234,0.1881720430107527,0.8548387096774194,0.8998561260033318,0.1881720430107527,0.32283666154633894,0.050000000000000044,0.2875,0.7125,0.09090909090909091,0.09090909090909091,0.06060606060606061,1.1136363636363635,0.9318181818181818,0.5303030303030303,11,8,8,4.0,1.0,41.12259806270296,0.15946432801944813,0.75,0.0,0.25,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|soft contrast
10,174,0.6401274937244021,8,8,0.27927927927927926,174,8,0.42016148781100576,0.7332961805015998,1.7452722388289101,0.6401274937244021,0.36309287884793234,0.1881720430107527,0.8548387096774194,0.8998561260033318,0.1881720430107527,0.32283666154633894,0.050000000000000044,0.3,0.7,0.08888888888888889,0.022222222222222223,0.08208955223880597,1.2,0.9333333333333333,0.5970149253731343,11,8,8,4.0,1.0,41.12259806270296,0.15946432801944813,0.75,0.0,0.25,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|soft contrast
15,160,0.6423845607930221,8,8,0.3865546218487395,160,8,0.4104279900737278,0.7097580291531242,1.7293119531775254,0.6423845607930221,0.3695886083194066,0.19911504424778761,0.8539823008849557,0.8993207029789354,0.19911504424778761,0.35016090104585684,0.07499999999999996,0.2625,0.7375,0.06382978723404255,0.14893617021276595,0.043478260869565216,1.5106382978723405,1.4042553191489362,0.855072463768116,11,8,8,,,,,,,,
20,145,0.598458089385655,8,8,0.3492063492063492,145,8,0.402565986485244,0.7432983733537536,1.8464013312287104,0.598458089385655,0.37131659166787634,0.21933085501858737,0.8661710037174721,0.9042489135556835,0.21933085501858737,0.395704254440314,0.07499999999999996,0.2375,0.7625,0.08333333333333333,0.08333333333333333,0.05555555555555555,1.7708333333333333,1.6458333333333333,1.0763888888888888,10,8,8,4.0,1.0,40.2441939115963,0.192114644164151,0.5,0.0,0.5,soft contrast|warm palette|figurative composition|renaissance-inspired texture|low-key lighting
20,145,0.598458089385655,8,8,0.3492063492063492,145,8,0.402565986485244,0.7432983733537536,1.8464013312287104,0.598458089385655,0.37131659166787634,0.21933085501858737,0.8661710037174721,0.9042489135556835,0.21933085501858737,0.395704254440314,0.07499999999999996,0.225,0.775,0.10204081632653061,0.061224489795918366,0.0547945205479452,1.836734693877551,1.6734693877551021,1.1164383561643836,13,8,8,4.0,1.0,40.2441939115963,0.192114644164151,0.5,0.0,0.5,soft contrast|warm palette|figurative composition|renaissance-inspired texture|low-key lighting
25,130,0.5832359088815673,8,8,0.3282442748091603,130,8,0.402565986485244,0.7432983733537536,1.8464013312287104,0.5832359088815673,0.38598386887259245,0.2090032154340836,0.8810289389067524,0.90685430913455,0.2090032154340836,0.41214719542693823,0.025000000000000022,0.225,0.775,0.09803921568627451,0.058823529411764705,0.05333333333333334,2.764705882352941,1.9607843137254901,1.1533333333333333,12,8,8,,,,,,,,
30,121,0.5712686709343088,8,8,0.33076923076923076,121,8,0.4013899051342574,0.6752555020079889,1.6822931851814475,0.5712686709343088,0.37461419753086417,0.21159420289855072,0.8869565217391304,0.9087875076546232,0.21159420289855072,0.43686200378071827,0.03749999999999998,0.2125,0.7875,0.1346153846153846,0.038461538461538464,0.04487179487179487,3.8846153846153846,2.5384615384615383,0.9230769230769231,12,8,8,4.0,1.0,41.781494621694506,0.20895204186863062,0.5,0.25,0.25,warm palette|figurative composition|renaissance-inspired texture|low-key lighting|dramatic contrast
30,121,0.5712686709343088,8,8,0.33076923076923076,121,8,0.4013899051342574,0.6752555020079889,1.6822931851814475,0.5712686709343088,0.37461419753086417,0.21159420289855072,0.8869565217391304,0.9087875076546232,0.21159420289855072,0.43686200378071827,0.03749999999999998,0.2125,0.7875,0.07547169811320754,0.1320754716981132,0.03164556962025317,3.8867924528301887,2.8867924528301887,0.8544303797468354,12,8,8,4.0,1.0,41.781494621694506,0.20895204186863062,0.5,0.25,0.25,warm palette|figurative composition|renaissance-inspired texture|low-key lighting|dramatic contrast
