id,path,S,M,I
124,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188078.jpg,1.0,1.0,1.0
125,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188328.jpg,1.0,1.0,1.0
126,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188515.jpg,1.0,1.0,1.0
127,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188559.jpg,1.0,1.0,1.0
128,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188589.jpg,1.0,1.0,1.0
129,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188637.jpg,1.0,1.0,1.0
130,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188650.jpg,1.0,1.0,1.0
131,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188652.jpg,1.0,1.0,1.0
132,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188653.jpg,1.0,1.0,1.0
133,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188711.jpg,1.0,1.0,1.0
134,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188713.jpg,1.0,1.0,1.0
135,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188746.jpg,1.0,1.0,1.0
136,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188795.jpg,1.0,1.0,1.0
137,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188895.jpg,1.0,1.0,1.0
138,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188914.jpg,1.0,1.0,1.0
139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188921.jpg,1.2,1.0,2.0
140,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/188980.jpg,1.0,1.0,1.0
141,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189049.jpg,1.0,1.0,1.0
142,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189099.jpg,1.0,1.0,1.0
143,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189108.jpg,1.2,1.0,2.0
144,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189109.jpg,1.0,1.0,1.0
145,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189122.jpg,1.0,1.0,1.0
146,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189149.jpg,1.0,1.0,1.0
147,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189189.jpg,1.0,1.0,1.0
148,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189375.jpg,1.0,1.0,1.0
149,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/189391.jpg,1.0,1.0,1.0
