round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,188,0.5710059171597633,8,2,0.1875,188,2,0.36293878160898035,0.47194136914586754,1.3003332602089446,0.5710059171597633,0.24556213017751483,0.13333333333333333,1.0,0.9623333333333335,0.13333333333333333,0.05833333333333335,,0.2625,0.7375,0.125,0.0,0.025,0.125,0.0,0.025,8,8,0
5,163,0.4884033203125,8,4,0.3125,163,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.4884033203125,0.1953125,0.16176470588235295,1.0,0.921764705882353,0.16176470588235295,0.2176470588235293,0.125,0.3625,0.6375,0.2,0.0,0.0,1.025,0.0,0.058333333333333334,8,8,0
10,158,0.4322833502685441,8,4,0.20987654320987653,158,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.4322833502685441,0.2109159529685006,0.18681318681318682,1.0,0.9288461538461539,0.18681318681318682,0.2884615384615383,0.03749999999999998,0.3625,0.6375,0.175,0.0,0.008333333333333333,1.9,0.0,0.1,8,8,0
15,156,0.41715,8,4,0.2375,156,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.41715,0.17739999999999997,0.18181818181818182,1.0,0.9312727272727275,0.18181818181818182,0.31272727272727274,0.050000000000000044,0.3625,0.6375,0.175,0.0,0.008333333333333333,2.8,0.0,0.13333333333333333,8,8,0
20,154,0.38580867566791155,8,4,0.38271604938271603,154,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.38580867566791155,0.14277506463659867,0.19083969465648856,1.0,0.9327862595419849,0.19083969465648856,0.3278625954198473,0.025000000000000022,0.3625,0.6375,0.175,0.0,0.008333333333333333,3.675,0.0,0.175,8,8,0
25,152,0.35357666015625,8,4,0.3125,152,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.35357666015625,0.135772705078125,0.18181818181818182,1.0,0.9330419580419582,0.18181818181818182,0.3304195804195804,0.0625,0.3625,0.6375,0.175,0.0,0.008333333333333333,4.575,0.0,0.20833333333333334,8,8,0
30,147,0.34884650221109276,8,4,0.345679012345679,147,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.34884650221109276,0.13261228621663387,0.1870967741935484,1.0,0.9350645161290323,0.1870967741935484,0.3506451612903225,0.0,0.3625,0.6375,0.175,0.0,0.008333333333333333,5.45,0.0,0.25,8,8,0
35,145,0.3491776067602233,8,4,0.3333333333333333,145,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.3491776067602233,0.13329309390875707,0.1875,1.0,0.9360000000000002,0.1875,0.3599999999999999,0.0,0.3625,0.6375,0.175,0.0,0.008333333333333333,6.325,0.0,0.2916666666666667,8,8,0
40,145,0.34100115740740744,8,4,0.4,145,4,0.3681221123551906,0.41868831407786217,1.1373625762363377,0.34100115740740744,0.12765239197530867,0.1901840490797546,1.0,0.9365337423312885,0.1901840490797546,0.36533742331288344,0.0,0.3625,0.6375,0.175,0.0,0.008333333333333333,7.025,0.0,0.325,8,8,0
