round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,200,0.5892857142857142,8,2,0.1875,200,2,0.32738870839522305,0.5056452425083554,1.5444797866942357,0.5892857142857142,0.09438775510204092,0.13333333333333333,1.0,0.9644654088050313,0.13333333333333333,0.05833333333333335,,0.25,0.75,0.14634146341463414,0.0,0.016666666666666666,0.14634146341463414,0.0,0.016666666666666666,8,8,0,2.0,1.0,36.027013009810474,0.136559775474641,0.0,1.0,0.0,warm palette|figurative composition|renaissance-inspired texture|high-key lighting|soft contrast
5,173,0.48594290657439443,8,4,0.35,173,4,0.37245717062895856,0.35550077786959516,0.9544742480572207,0.48594290657439443,0.08791089965397925,0.15789473684210525,0.9473684210526315,0.9150943396226414,0.15789473684210525,0.25,0.13749999999999996,0.3875,0.6125,0.1951219512195122,0.0,0.0,1.048780487804878,0.0,0.040983606557377046,8,8,0,,,,,,,,
10,160,0.4551576369758188,8,5,0.38271604938271603,160,5,0.3665470244145265,0.42496659357788713,1.1593781023230847,0.4551576369758188,0.10963167023773086,0.14414414414414414,0.9279279279279279,0.910802311745708,0.14414414414414414,0.2726957726957726,0.050000000000000044,0.4,0.6,0.19047619047619047,0.0,0.0,1.9523809523809523,0.0,0.04918032786885246,8,8,0,,,,,,,,
15,156,0.4181269750071819,8,5,0.345679012345679,156,5,0.3665470244145265,0.42496659357788713,1.1593781023230847,0.4181269750071819,0.10442401608733115,0.15555555555555556,0.9407407407407408,0.9171558350803632,0.15555555555555556,0.3245014245014244,0.0,0.3875,0.6125,0.19047619047619047,0.0,0.0,2.8095238095238093,0.0,0.08064516129032258,8,8,0,,,,,,,,
20,153,0.39157750342935527,8,5,0.3384615384615385,153,5,0.36860119586297685,0.4133850359900242,1.121496730422153,0.39157750342935527,0.10408779149519892,0.1437908496732026,0.934640522875817,0.9159267480577136,0.1437908496732026,0.33986928104575176,0.03749999999999998,0.375,0.625,0.19047619047619047,0.0,0.0,3.3333333333333335,0.0,0.15873015873015872,8,8,0,2.0,1.0,67.56468453239037,0.1373014011844615,0.0,1.0,0.0,low-key lighting|soft contrast|warm palette|figurative composition|renaissance-inspired texture
