round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2625,0.7375,0.14634146341463414,0.1951219512195122,0.01639344262295082,0.14634146341463414,0.1951219512195122,0.01639344262295082,16,8,8
1,0.2875,0.7125,0.1951219512195122,0.0975609756097561,0.03278688524590164,0.34146341463414637,0.2926829268292683,0.04918032786885246,14,8,8
2,0.2875,0.7125,0.1951219512195122,0.0975609756097561,0.03278688524590164,0.34146341463414637,0.2926829268292683,0.04918032786885246,14,8,8
2,0.275,0.725,0.16666666666666666,0.14285714285714285,0.024193548387096774,0.47619047619047616,0.40476190476190477,0.08870967741935484,14,8,8
3,0.275,0.725,0.11904761904761904,0.11904761904761904,0.04838709677419355,0.5952380952380952,0.5238095238095238,0.13709677419354838,11,8,8
4,0.275,0.725,0.11904761904761904,0.11904761904761904,0.04838709677419355,0.5952380952380952,0.5238095238095238,0.13709677419354838,11,8,8
4,0.3,0.7,0.11627906976744186,0.20930232558139536,0.015873015873015872,0.6976744186046512,0.7209302325581395,0.15079365079365079,14,8,8
5,0.3,0.7,0.18604651162790697,0.023255813953488372,0.05555555555555555,0.8837209302325582,0.7441860465116279,0.20634920634920634,10,8,8
6,0.3,0.7,0.18604651162790697,0.023255813953488372,0.05555555555555555,0.8837209302325582,0.7441860465116279,0.20634920634920634,10,8,8
6,0.3,0.7,0.11363636363636363,0.09090909090909091,0.046875,0.9772727272727273,0.7954545454545454,0.2578125,10,8,7
7,0.3,0.7,0.11363636363636363,0.06818181818181818,0.0625,1.0909090909090908,0.8636363636363636,0.3203125,11,8,8
8,0.3,0.7,0.11363636363636363,0.06818181818181818,0.0625,1.0909090909090908,0.8636363636363636,0.3203125,11,8,8
8,0.2875,0.7125,0.1590909090909091,0.09090909090909091,0.030303030303030304,1.25,0.7727272727272727,0.4015151515151515,10,8,7
9,0.2875,0.7125,0.09090909090909091,0.11363636363636363,0.05303030303030303,1.3409090909090908,0.8863636363636364,0.45454545454545453,12,8,8
10,0.2875,0.7125,0.09090909090909091,0.11363636363636363,0.05303030303030303,1.3409090909090908,0.8863636363636364,0.45454545454545453,12,8,8
10,0.3,0.7,0.08888888888888889,0.044444444444444446,0.06716417910447761,1.4,0.9111111111111111,0.5149253731343284,9,8,7
11,0.3,0.7,0.1111111111111111,0.1111111111111111,0.04477611940298507,1.511111111111111,1.0222222222222221,0.5597014925373134,11,8,8
12,0.3,0.7,0.1111111111111111,0.1111111111111111,0.04477611940298507,1.511111111111111,1.0222222222222221,0.5597014925373134,11,8,8
12,0.325,0.675,0.10869565217391304,0.10869565217391304,0.04411764705882353,1.5869565217391304,1.0434782608695652,0.6176470588235294,11,8,8
13,0.325,0.675,0.08695652173913043,0.10869565217391304,0.051470588235294115,1.673913043478261,1.1521739130434783,0.6691176470588235,12,8,8
14,0.325,0.675,0.08695652173913043,0.10869565217391304,0.051470588235294115,1.673913043478261,1.1521739130434783,0.6691176470588235,12,8,8
14,0.275,0.725,0.10638297872340426,0.1276595744680851,0.036231884057971016,1.7446808510638299,1.148936170212766,0.7318840579710145,11,8,8
15,0.275,0.725,0.1276595744680851,0.1276595744680851,0.028985507246376812,1.872340425531915,1.2765957446808511,0.7608695652173914,10,8,8
16,0.275,0.725,0.1276595744680851,0.1276595744680851,0.028985507246376812,1.872340425531915,1.2765957446808511,0.7608695652173914,10,8,8
16,0.3375,0.6625,0.08333333333333333,0.10416666666666667,0.05,1.9583333333333333,1.3541666666666667,0.7857142857142857,10,8,8
17,0.3375,0.6625,0.041666666666666664,0.10416666666666667,0.06428571428571428,2.0,1.4583333333333333,0.85,10,8,8
18,0.3375,0.6625,0.041666666666666664,0.10416666666666667,0.06428571428571428,2.0,1.4583333333333333,0.85,10,8,8
18,0.25,0.75,0.0625,0.0625,0.06944444444444445,2.0208333333333335,1.4166666666666667,0.9444444444444444,11,8,8
19,0.25,0.75,0.10416666666666667,0.0625,0.05555555555555555,2.125,1.4791666666666667,1.0,9,8,8
20,0.25,0.75,0.10416666666666667,0.0625,0.05555555555555555,2.125,1.4791666666666667,1.0,9,8,8
20,0.2625,0.7375,0.08163265306122448,0.12244897959183673,0.0410958904109589,2.163265306122449,1.5714285714285714,1.0273972602739727,10,8,8
21,0.2625,0.7375,0.061224489795918366,0.12244897959183673,0.04794520547945205,2.2244897959183674,1.6938775510204083,1.0753424657534247,11,8,8
22,0.2625,0.7375,0.061224489795918366,0.12244897959183673,0.04794520547945205,2.2244897959183674,1.6938775510204083,1.0753424657534247,11,8,8
22,0.2625,0.7375,0.06,0.1,0.05405405405405406,2.24,1.92,1.0608108108108107,9,8,8
23,0.2625,0.7375,0.06,0.1,0.05405405405405406,2.3,2.02,1.114864864864865,9,8,8
24,0.2625,0.7375,0.06,0.1,0.05405405405405406,2.3,2.02,1.114864864864865,9,8,8
24,0.275,0.725,0.09803921568627451,0.058823529411764705,0.05333333333333334,2.784313725490196,1.9019607843137254,1.0533333333333332,9,8,8
25,0.275,0.725,0.0784313725490196,0.0784313725490196,0.05333333333333334,2.8627450980392157,1.9803921568627452,1.1066666666666667,10,8,8
26,0.275,0.725,0.0784313725490196,0.0784313725490196,0.05333333333333334,2.8627450980392157,1.9803921568627452,1.1066666666666667,10,8,8
26,0.3,0.7,0.07692307692307693,0.11538461538461539,0.039473684210526314,2.923076923076923,2.730769230769231,0.8881578947368421,10,8,8
27,0.3,0.7,0.07692307692307693,0.11538461538461539,0.039473684210526314,3.0,2.8461538461538463,0.9276315789473685,10,8,8
28,0.3,0.7,0.07692307692307693,0.11538461538461539,0.039473684210526314,3.0,2.8461538461538463,0.9276315789473685,10,8,8
28,0.25,0.75,0.057692307692307696,0.07692307692307693,0.057692307692307696,3.019230769230769,2.9615384615384617,0.9615384615384616,9,8,8
29,0.25,0.75,0.057692307692307696,0.07692307692307693,0.057692307692307696,3.076923076923077,3.0384615384615383,1.0192307692307692,11,8,8
30,0.25,0.75,0.057692307692307696,0.07692307692307693,0.057692307692307696,3.076923076923077,3.0384615384615383,1.0192307692307692,11,8,8
30,0.2375,0.7625,0.05660377358490566,0.09433962264150944,0.05063291139240506,3.0754716981132075,3.0754716981132075,1.0569620253164558,9,8,8
31,0.2375,0.7625,0.09433962264150944,0.07547169811320754,0.04430379746835443,3.169811320754717,3.150943396226415,1.1012658227848102,9,8,8
32,0.2375,0.7625,0.09433962264150944,0.07547169811320754,0.04430379746835443,3.169811320754717,3.150943396226415,1.1012658227848102,9,8,8
32,0.2625,0.7375,0.1111111111111111,0.07407407407407407,0.0375,3.2222222222222223,3.1666666666666665,1.125,10,8,8
33,0.2625,0.7375,0.05555555555555555,0.09259259259259259,0.05,3.2777777777777777,3.259259259259259,1.175,9,8,8
34,0.2625,0.7375,0.05555555555555555,0.09259259259259259,0.05,3.2777777777777777,3.259259259259259,1.175,9,8,8
34,0.275,0.725,0.09090909090909091,0.09090909090909091,0.037037037037037035,3.309090909090909,3.290909090909091,1.1975308641975309,9,8,8
35,0.275,0.725,0.07272727272727272,0.10909090909090909,0.037037037037037035,3.381818181818182,3.4,1.2345679012345678,10,8,8
36,0.275,0.725,0.07272727272727272,0.10909090909090909,0.037037037037037035,3.381818181818182,3.4,1.2345679012345678,10,8,8
36,0.2875,0.7125,0.017857142857142856,0.10714285714285714,0.054878048780487805,3.4642857142857144,3.4464285714285716,1.2317073170731707,10,8,8
37,0.2875,0.7125,0.07142857142857142,0.10714285714285714,0.036585365853658534,3.5357142857142856,3.5535714285714284,1.2682926829268293,10,8,8
38,0.2875,0.7125,0.07142857142857142,0.10714285714285714,0.036585365853658534,3.5357142857142856,3.5535714285714284,1.2682926829268293,10,8,8
38,0.275,0.725,0.05357142857142857,0.08928571428571429,0.047619047619047616,2.5,3.642857142857143,1.6488095238095237,9,8,8
39,0.275,0.725,0.07142857142857142,0.07142857142857142,0.047619047619047616,2.5714285714285716,3.7142857142857144,1.6964285714285714,11,8,8
40,0.275,0.725,0.07142857142857142,0.07142857142857142,0.047619047619047616,2.5714285714285716,3.7142857142857144,1.6964285714285714,11,8,8
