round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,169,0.8330898466033602,8,3,0.4,169,3,0.45929387578711633,0.6004125264988414,1.3072513224128723,0.8330898466033602,0.43425858290723157,0.07692307692307693,1.0,0.9284347493302716,0.07692307692307693,0.10096153846153855,,0.2625,0.7375,0.17073170731707318,0.1951219512195122,0.008403361344537815,0.17073170731707318,0.1951219512195122,0.008403361344537815,16,8,8,1.0,1.0,28.999990659753276,0.1443032983258138,0.0,1.0,0.0,high-key lighting|dramatic contrast|warm palette|figurative composition|renaissance-inspired texture
5,103,0.6483627322199287,8,7,0.4342857142857143,103,7,0.44875936195172383,0.5710767641749713,1.2725679118788078,0.6483627322199287,0.3718099080502908,0.16049382716049382,0.7098765432098766,0.8595909342177999,0.16049382716049382,0.2573099415204678,0.15000000000000002,0.3125,0.6875,0.17073170731707318,0.17073170731707318,0.01680672268907563,1.1219512195121952,1.146341463414634,0.025210084033613446,15,8,8,,,,,,,,
10,80,0.5760997732426304,8,7,0.48214285714285715,80,7,0.4433103987186377,0.6710518182626672,1.5137290264390426,0.5760997732426304,0.3514852607709751,0.14782608695652175,0.7086956521739131,0.8578412286394115,0.14782608695652175,0.267335562987737,0.03749999999999998,0.325,0.675,0.1951219512195122,0.1951219512195122,0.0,2.0,2.048780487804878,0.08403361344537816,16,8,8,,,,,,,,
15,65,0.5495656048117621,8,7,0.4034090909090909,65,7,0.4433103987186377,0.6710518182626672,1.5137290264390426,0.5495656048117621,0.3627965582535086,0.1413793103448276,0.7448275862068966,0.8636129696345856,0.1413793103448276,0.2970822281167109,0.0,0.325,0.675,0.17073170731707318,0.1951219512195122,0.008403361344537815,2.902439024390244,3.0,0.11764705882352941,16,8,8,,,,,,,,
20,59,0.5294570525711002,8,7,0.46564885496183206,59,7,0.4433103987186377,0.6710518182626672,1.5137290264390426,0.5294570525711002,0.34363688595231257,0.146875,0.753125,0.8664490049751243,0.146875,0.31169871794871806,0.0,0.325,0.675,0.17073170731707318,0.17073170731707318,0.01680672268907563,3.5853658536585367,3.707317073170732,0.17647058823529413,15,8,8,,,,,,,,
