run_id,status,mode,strategy_policy,rebel_ratio,master_visibility_boost,finished_at,round_final,modularity,in_degree_top10_share,gini_in_degree,cross_cluster_citation_rate,separation_ratio,share_conform_topK,share_diff_topK,payoff_conform_cum_mean,payoff_diff_cum_mean,topk_turnover_rate,generated_count
e1-s1-r1-baseline_random-imitation_only-rr0p00,failed_exit_1,baseline_random,imitation_only,0.0,,2026-03-06T20:03:28,,,,,,,,,,,,
e1-s2-r1-baseline_random-differentiation_only-rr1p00,ok,baseline_random,differentiation_only,1.0,,2026-03-06T20:36:38,20.0,0.6425683961907069,0.2050359712230215,0.6499773154449413,0.3636363636363636,1.0846406291519106,0.1875,0.8125,0.5909090909090909,0.6136363636363636,0.125,2.0
e1-s3-r1-baseline_random-self_consistency_only-rr0p00,ok,baseline_random,self_consistency_only,0.0,,2026-03-06T21:03:22,20.0,0.6554300595012793,0.1854545454545454,0.6615724815724817,0.3787878787878788,1.0989623197042668,0.1625,0.8375,0.8181818181818182,0.5909090909090909,0.125,2.0
e2-s1-r1-norm_only-imitation_only-rr0p00,failed_exit_1,norm_only,imitation_only,0.0,,2026-03-06T21:19:34,,,,,,,,,,,,
e2-s2-r1-norm_only-differentiation_only-rr1p00,ok,norm_only,differentiation_only,1.0,,2026-03-06T21:45:37,20.0,0.5369792826910225,0.1554054054054054,0.9190406622839056,0.4393939393939394,1.2168606163753073,0.3625,0.6375,2.6818181818181817,0.0,0.0,2.0
e2-s3-r1-norm_only-self_consistency_only-rr0p00,ok,norm_only,self_consistency_only,0.0,,2026-03-06T22:15:28,20.0,0.5173469387755102,0.1656050955414012,0.9206690767200324,0.1666666666666666,1.1410366642628882,0.3375,0.6625,2.9318181818181817,0.1818181818181818,0.0,2.0
e3-s1-r1-dual_patronage-imitation_only-rr0p00,failed_exit_1,dual_patronage,imitation_only,0.0,,2026-03-06T22:37:59,,,,,,,,,,,,
e3-s2-r1-dual_patronage-differentiation_only-rr1p00,failed_exit_120,dual_patronage,differentiation_only,1.0,,2026-03-06T22:55:21,,,,,,,,,,,,
e3-s3-r1-dual_patronage-self_consistency_only-rr0p00,failed_exit_120,dual_patronage,self_consistency_only,0.0,,2026-03-06T22:55:30,,,,,,,,,,,,
