round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,195,0.8166089965397924,8,2,0.2631578947368421,195,2,0.4658147770308966,0.5141114456093541,1.1036821306664002,0.8166089965397924,0.47231833910034604,0.16666666666666666,1.0,0.9654088050314464,0.16666666666666666,0.08333333333333326,,0.2125,0.7875,0.024390243902439025,0.024390243902439025,0.05,0.024390243902439025,0.024390243902439025,0.05,8,0,0,2.0,1.0,44.811724785746556,0.136559775474641,0.0,0.0,1.0,dramatic contrast|warm palette|figurative composition|renaissance-inspired texture|low-key lighting
5,140,0.7498269896193771,8,8,0.43902439024390244,140,8,0.4339017132162158,0.6177192608683401,1.4236386768091116,0.7498269896193771,0.35335640138408303,0.16483516483516483,0.5934065934065934,0.8335579514824798,0.16483516483516483,0.13937282229965153,0.275,0.175,0.825,0.0,0.024390243902439025,0.05737704918032787,0.1951219512195122,0.1951219512195122,0.26229508196721313,8,0,0,,,,,,,,
10,103,0.6919774445726002,8,8,0.39285714285714285,103,8,0.45844982315215127,0.560133714104164,1.2217993896319286,0.6919774445726002,0.36379170404545264,0.1746987951807229,0.4759036144578313,0.7472721072971129,0.1746987951807229,0.1882073749543629,0.32499999999999996,0.2375,0.7625,0.047619047619047616,0.0,0.04918032786885246,0.47619047619047616,0.2857142857142857,0.45901639344262296,8,0,0,,,,,,,,
15,76,0.6395115607573453,8,8,0.40476190476190477,76,8,0.4687422757774615,0.4519899603884737,0.9642611382529936,0.6395115607573453,0.35913288809539556,0.1956521739130435,0.43478260869565216,0.7119360131255126,0.1956521739130435,0.2366304347826087,0.11250000000000004,0.2,0.8,0.0,0.023809523809523808,0.056451612903225805,0.5952380952380952,0.4523809523809524,0.6774193548387096,8,0,0,,,,,,,,
20,61,0.6263337968098236,8,8,0.417910447761194,61,8,0.46293884541479696,0.4994519494999525,1.0788724135958812,0.6263337968098236,0.3635270040150604,0.19272727272727272,0.3890909090909091,0.6805317324185247,0.19272727272727272,0.24747474747474763,0.08750000000000002,0.2,0.8,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.8809523809523809,0.5952380952380952,0.7777777777777778,8,0,0,2.0,1.0,36.49517187111725,0.17691466692538965,0.0,0.0,1.0,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|soft contrast
